occurrenceID	inst	kingdom
http://id.luomus.fi/MY.12131895	Helsinki	Plantae
http://id.luomus.fi/MY.12131722	Helsinki	Plantae
http://id.luomus.fi/MY.12131730	Helsinki	Plantae
http://id.luomus.fi/MY.12131746	Helsinki	Plantae
http://id.luomus.fi/MY.12131762	Helsinki	Plantae
http://id.luomus.fi/MY.12131769	Helsinki	Plantae
http://id.luomus.fi/MY.12131781	Helsinki	Plantae
http://id.luomus.fi/MY.12131907	Helsinki	Plantae
http://id.luomus.fi/MY.12131980	Helsinki	Plantae
http://id.luomus.fi/MY.12131968	Helsinki	Plantae
http://id.luomus.fi/MY.12131915	Helsinki	Plantae
http://id.luomus.fi/MY.12131940	Helsinki	Plantae
http://id.luomus.fi/MY.12131995	Helsinki	Plantae
http://id.luomus.fi/MY.12131999	Helsinki	Plantae
http://id.luomus.fi/MY.12130083	Helsinki	Plantae
http://id.luomus.fi/MY.12130075	Helsinki	Plantae
http://id.luomus.fi/MY.12130055	Helsinki	Plantae
http://id.luomus.fi/MY.12130063	Helsinki	Plantae
http://id.luomus.fi/MY.12130103	Helsinki	Plantae
http://id.luomus.fi/MY.12130131	Helsinki	Plantae
http://id.luomus.fi/MY.12130283	Helsinki	Plantae
http://id.luomus.fi/MY.12130267	Helsinki	Plantae
http://id.luomus.fi/MY.12130295	Helsinki	Plantae
http://id.luomus.fi/MY.12130355	Helsinki	Plantae
http://id.luomus.fi/MY.12130363	Helsinki	Plantae
http://id.luomus.fi/MY.12130371	Helsinki	Plantae
http://id.luomus.fi/MY.12130331	Helsinki	Plantae
http://id.luomus.fi/MY.12130323	Helsinki	Plantae
http://id.luomus.fi/MY.12130195	Helsinki	Plantae
http://id.luomus.fi/MY.12130159	Helsinki	incertae sedis
http://id.luomus.fi/MY.12130183	Helsinki	Plantae
http://id.luomus.fi/MY.12130171	Helsinki	Plantae
http://id.luomus.fi/MY.12130259	Helsinki	Plantae
http://id.luomus.fi/MY.12130243	Helsinki	Plantae
http://id.luomus.fi/MY.12130215	Helsinki	Plantae
http://id.luomus.fi/MY.12130511	Helsinki	Plantae
http://id.luomus.fi/MY.12130523	Helsinki	Plantae
http://id.luomus.fi/MY.12130535	Helsinki	Plantae
http://id.luomus.fi/MY.12130559	Helsinki	Plantae
http://id.luomus.fi/MY.12130543	Helsinki	Plantae
http://id.luomus.fi/MY.12130567	Helsinki	Plantae
http://id.luomus.fi/MY.12130395	Helsinki	Plantae
http://id.luomus.fi/MY.12130403	Helsinki	Plantae
http://id.luomus.fi/MY.12130479	Helsinki	Plantae
http://id.luomus.fi/MY.12130487	Helsinki	Plantae
http://id.luomus.fi/MY.12130491	Helsinki	Plantae
http://id.luomus.fi/MY.12130427	Helsinki	Plantae
http://id.luomus.fi/MY.12130455	Helsinki	Plantae
http://id.luomus.fi/MY.12130743	Helsinki	Plantae
http://id.luomus.fi/MY.12130775	Helsinki	Plantae
